Moeda,Dias Acima,Dias Abaixo,Preço Atual,MA7,Distância da Média (%),Tendência,Status,Insight
ripple,1,1,3.25,3.1900000000000004,1.880877742946696,Baixa,Neutra,A moeda está próxima da média móvel. Nenhum sinal forte de sobrecompra ou sobrevenda.
ethereum,1,4,3264.0,3310.0,-1.3897280966767371,Baixa,Neutra,A moeda está próxima da média móvel. Nenhum sinal forte de sobrecompra ou sobrevenda.
dogecoin,1,7,0.349,0.35699999999999993,-2.240896358543404,Baixa,Neutra,A moeda está há 7 dias consecutivos abaixo da média móvel. Pode indicar uma tendência forte de baixa.
solana,8,1,268.29,244.16428571428574,9.880934967673987,Alta,Sobrecomprada,A moeda está há 8 dias consecutivos acima da média móvel. Pode indicar uma tendência forte de alta.
bnb,1,7,686.05,686.8842857142857,-0.12145942652017674,Baixa,Neutra,A moeda está há 7 dias consecutivos abaixo da média móvel. Pode indicar uma tendência forte de baixa.
chainlink,1,1,25.05,25.31857142857143,-1.0607684929188133,Baixa,Neutra,A moeda está próxima da média móvel. Nenhum sinal forte de sobrecompra ou sobrevenda.
tron,6,1,0.255,0.24700000000000003,3.2388663967611246,Alta,Neutra,A moeda está há 6 dias consecutivos acima da média móvel. Pode indicar uma tendência forte de alta.
hyperliquid,3,1,25.78,25.25,2.0990099009901035,Alta,Neutra,A moeda está próxima da média móvel. Nenhum sinal forte de sobrecompra ou sobrevenda.
bitcoin,9,1,104506.0,103247.14285714286,1.2192658392484073,Alta,Neutra,A moeda está há 9 dias consecutivos acima da média móvel. Pode indicar uma tendência forte de alta.
cardano,1,7,0.987,0.9901428571428571,-0.31741451450006924,Baixa,Neutra,A moeda está há 7 dias consecutivos abaixo da média móvel. Pode indicar uma tendência forte de baixa.
